"id. Response_ID","submitdate. Date_submitted","lastpage. Last_page","startlanguage. Start_language","seed. Seed","Q00. Do_you_agree_to.._","G02Q02_SQ001. What_is_your_fa..__[Faculty_of_Phil.._]","G02Q02_SQ002. What_is_your_fa..__[Faculty_of_Arts]","G02Q02_SQ003. What_is_your_fa..__[School_of_Manag.._]","G02Q02_SQ004. What_is_your_fa..__[Faculty_of_Medi.._]","G02Q02_SQ005. What_is_your_fa..__[Faculty_of_Science]","G02Q02_SQ006. What_is_your_fa..__[Faculty_of_Law]","G02Q02_SQ007. What_is_your_fa..__[Faculty_of_Soci.._]","G02Q03. How_familiar_ar.._","G01Q04. How_often_do_yo.._","G01Q05. How_often_do_yo.._","G02Q06. How_much_do_you.._","G02Q07. How_much_do_you.._","G01Q08. How_often_do_yo.._","G02Q09.  __How_accurate.._","G02Q10. Have_you_ever_e.._","G01Q11. Regarding_the_q.._","G01Q12. Have_you_ever_e.._","G01Q13. Regarding_the_q.._","G02Q14. Is_there_anythi.._","G03Q32. How_trustworthy.._","G03Q15. How_credible_do.._","G03Q31. Would_you_feel_.._","G03Q32Copy. How_trustworthy.._","G03Q17. How_credible_do.._","G03Q31Copy. Would_you_feel_.._","G03Q32CopyCopyCopy. How_trustworthy.._","G03Q27. How_credible_do.._","G03Q28. Would_you_feel_.._","G03Q32C. How_trustworthy.._","G03Q29. How_credible_do.._","G03Q30. Would_you_feel_.._","G03Q19. How_credible_do.._","G03Q32CCopyCopy. How_trustworthy.._","G03Q20. Would_you_feel_.._","r154q0. How_credible_do.._","r563q0. How_trustworthy.._","r693q0. Would_you_feel_.._","G03Q32CopyCopy. How_trustworthy.._","G03Q21. How_credible_do.._","G03Q31CC. Would_you_feel_.._","G03Q32CC. How_trustworthy.._","G03Q23. How_credible_do.._","G03Q24. Would_you_feel_.._","r479q0. How_credible_do.._","r733q0. How_trustworthy.._","r328q0. Would_you_feel_.._","G03Q25CopyCopy. How_credible_do.._","G03Q32CCCCopy. How_trustworthy.._","G03Q24C. Would_you_feel_.._","G03Q32CCopy. How_trustworthy.._","G03Qcopy. How_credible_do.._","G03Q30Copy. Would_you_feel_.._","r938q0. How_credible_do.._","r259q0. How_trustworthy.._","r882q0. Would_you_feel_.._","G03Q16. Do_you_believe_.._","r895q0. Do_you_believe_.._","r928q0. Do_you_believe_.._","r778q0. Do_you_believe_.._","r781q0. Do_you_believe_.._","r213q0. Do_you_believe_.._","r198q0. Do_you_believe_.._","r857q0. Do_you_believe_.._","r78q0. Do_you_believe_.._","r572q0. Do_you_believe_.._","r877q0. Do_you_believe_.._","r91q0. Do_you_believe_.._"
"1",,"1","en","1213465528","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,,,,,"N/A",,"N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2",,"3","en","1080489359","Yes","No","No","No","Yes","No","No","No","4","Often","Always","4","2","Often","3","Yes","Sometimes articles are just plain bad or outdated. Or biased for that matter. ","Yes","Within my field ChatGPT is very bad at diagnosing someone or providing accurate information on that. Sometimes it quotes something from a source, where the quote isnt even in the souce material
","","4","3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3",,"1","en","1940161580","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,,,,,"N/A",,"N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4",,"6","en","1410317383","Yes","Yes","No","No","No","No","No","No","2","Always","Never","4","1","Always","2","No","","Yes","","","3","3","1","4","4","3","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5",,,"en","1841503364","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,,,,,"N/A",,"N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6",,"1","en","725359085","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,,,,,"N/A",,"N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7",,"6","en","1108698819","Yes","No","No","No","No","No","No","Yes","5","Often","Always","5","3","Sometimes","4","N/A","No","Yes","No","No","4","3","3","4","3","4","2","2","1","3","2","4","","","",,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","1980-01-01 00:00:00","26","en","1092007306","Yes","No","No","No","No","No","No","Yes","4","Rarely","Rarely","4","2","Often","3","No","","Yes","it kept giving wrong answers even after corrected","","4","4","3","3","3","3","3","3","2","4","4","3","3","3","3","4","4","4","3","2","2","4","3","3","3","3","3","3","3","2","4","4","3","4","3","3","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No"
"9",,,"en","2139618434","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,,,,,"N/A",,"N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10",,,"en","112679402","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",,,,,,,,"N/A",,"N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11",,"3","en","2118705364","Yes","No","No","No","No","No","No","Yes","4","Sometimes","Often","5","4","Sometimes","3","No","no","Yes","It gave false information, or information based on made up sources","no","4","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12","1980-01-01 00:00:00","26","en","2008455787","Yes","No","No","No","No","No","No","Yes","4","Often","Always","4","3","Sometimes","4","Yes","","Yes","fake sources","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes"
"13","1980-01-01 00:00:00","26","en","1161118362","Yes","No","No","No","No","No","No","Yes","4","Sometimes","Often","5","4","Often","4","No","No","Yes","No","No","5","5","4","4","5","4","4","5","5","4","4","3","5","5","5","4","5","3","5","4","4","5","4","4","4","4","3","4","4","4","4","5","4","4","4","3","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes"
"14","1980-01-01 00:00:00","26","en","814661086","Yes","No","No","No","No","No","No","Yes","5","Sometimes","Always","4","4","Rarely","4","Yes","","Yes","","","4","4","2","4","4","4","4","4","4","4","3","","4","4","2","4","3","4","4","4","3","4","3","2","4","4","4","4","4","4","4","4","2","4","4","2","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No"
"15","1980-01-01 00:00:00","26","en","2121943530","Yes","No","No","No","No","No","No","Yes","5","Sometimes","Often","5","3","Often","4","No","","Yes","it makes up information","","4","3","3","4","4","4","4","4","4","3","4","3","3","3","2","4","4","4","3","3","2","4","4","3","3","3","2","4","4","3","4","4","4","4","4","4","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","No"
